bam_sample	comparison_sample
HSB100	100_S2
HSB102	515_S7
HSB105	105_S5
HSB107	107_S6
HSB115	511
HSB116	115_S10
HSB121	115_S10
HSB122	122_S15
HSB127	127
HSB132	132_S18
HSB139	139_S20
HSB148	148_S2
HSB150	150
HSB152	152_S5
HSB154	154_S7
HSB171	171_S10
HSB172	172_S11
HSB174	174
HSB194	194_S16
HSB195	195_S17
HSB221	221_S18
HSB222	222_S19
HSB223	223_S2
HSB238	238
HSB248	248_S1
HSB260	HSB260
HSB261	261_S2
HSB265	265_S3
HSB267	267_S1
HSB268	432_S19
HSB270	270_S2
HSB271	432_S19
HSB272	272
HSB274	274
HSB275	275_S5
HSB278	278_S6
HSB279	279_S7
HSB286	286_S5
HSB289	289_S9
HSB292	292_S10
HSB313	313_S12
HSB316	316_S11
HSB321	321_S13
HSB322	322_S14
HSB332	332_S15
HSB337	337_S16
HSB338	338_S17
HSB339	339_S18
HSB340	340_S6
HSB341	412_S4
HSB342	342
HSB343	343_S21
HSB344	344_S4
HSB345	345_S5
HSB388	388_S6
HSB389	389_S1
HSB394	394_S2
HSB395	395_S1
HSB396	396_S19
HSB398	398_S20
HSB411	411_S3
HSB412	341_S19
HSB413	413_S5
HSB414	414_S6
HSB415	415_S7
HSB416	416_S8
HSB417	417_S9
HSB418	418_S10
HSB420	HSB420
HSB421	421_S11
HSB422	422_S12
HSB425	425_S13
HSB427	427_S14
HSB428	428_S15
HSB429	429_S16
HSB430	430_S17
HSB431	431_S18
HSB432	432_S19
HSB433	433_S20
HSB439	439_S21
HSB440	440_S7
HSB442	442_S8
HSB443	443_S1
HSB444	444_S1
HSB445	445
HSB452	452_S3
HSB453	453_S4
HSB454	454_S5
HSB455	455
HSB456	456_S7
HSB457	457_S8
HSB459	469_S18
HSB460	460_S10
HSB461	461
HSB462	462_S21
HSB463	463_S12
HSB464	464_S13
HSB465	465_S14
HSB466	466_S15
HSB467	467
HSB468	468_S17
HSB469	469_S18
HSB470	487_S3
HSB471	471
HSB472	472
HSB473	589
HSB474	474_S1
HSB475	475
HSB476	HSB476DFC
HSB478	470_S19
HSB479	479
HSB480	480_S2
HSB481	481
HSB482	482_S7
HSB483	498_S1
HSB484	514
HSB485	485
HSB486	486_S3
HSB487	487_S3
HSB488	488_S4
HSB489	489_S8
HSB490	490_S4
HSB492	492
HSB493	508_S24
HSB494	494_S10
HSB495	495
HSB496	496_S11
HSB497	497
HSB498	498_S1
HSB499	490_S4
HSB500	500
HSB502	502_S6
HSB503	503_S22
HSB504	504
HSB505	504
HSB506	506
HSB507	493
HSB508	116_S11
HSB509	509_S6
HSB510	510
HSB511	511
HSB513	499
HSB514	507
HSB515	484
HSB516	516
HSB536	536
HSB543	543
HSB544	544
HSB545	545
HSB546	546_S9
HSB547	547_S1
HSB561	561_S10
HSB562	562
HSB563	563
HSB564	564
HSB565	565
HSB566	566
HSB568	568
HSB569	569
HSB571	571
HSB572	572
HSB573	623
HSB577	577
HSB578	578
HSB579	579
HSB583	587
HSB587	589
HSB589	590
HSB590	591
HSB591	593
HSB593	573
HSB594	594
HSB595	595
HSB596	596
HSB597	597
HSB598	598
HSB608	608_S25
HSB615	615
HSB616	616
HSB618	618
HSB619	619
HSB622	459_S9
HSB623	623
HSB624	624
HSB625	625
HSB626	626
HSB627	627
HSB629	629
HSB630	630
HSB631	631
HSB633	633
HSB634	634_S17
HSB637	637
HSB638	638_S18
HSB643	643
HSB644	644
HSB645	645_S23
HSB646	646_S24
HSB649	649_S25
HSB650	650
HSB651	651
HSB652	652
HSB653	653
HSB654	654
HSB657	657
HSB666	666
HSB669	669
HSB670	670
HSB671	671
HSB672	672
HSB674	674
HSB676	676_S8
HSB679	679
