comparison_sample	perc_het_consistent	perc_hom_consistent	bam_sample
100_S2	0.9638950000000001	0.985762	HSB100
102_S3	0.321022	0.91975	HSB100
103_S4	0.319888	0.919467	HSB100
105_S5	0.32859	0.92	HSB100
107_S6	0.324709	0.920383	HSB100
112_S7	0.321306	0.91825	HSB100
113_S8	0.308239	0.9226780000000001	HSB100
114_S9	0.318033	0.919375	HSB100
115_S10	0.31809499999999996	0.9191440000000001	HSB100
116_S11	0.292698	0.922549	HSB100
118_S12	0.306564	0.923392	HSB100
119_S13	0.29835500000000004	0.9221459999999999	HSB100
121_S14	0.317633	0.9192290000000001	HSB100
122_S15	0.33181900000000003	0.9199959999999999	HSB100
127	0.31797800000000004	0.9190879999999999	HSB100
130_S16	0.298025	0.922969	HSB100
131_S17	0.316973	0.9191010000000001	HSB100
132_S18	0.312301	0.919004	HSB100
136_S19	0.296691	0.9223290000000001	HSB100
139_S20	0.29581399999999997	0.922638	HSB100
142_S21	0.322289	0.919744	HSB100
143_S1	0.32095100000000004	0.920149	HSB100
148_S2	0.32610100000000003	0.920198	HSB100
149_S3	0.319775	0.919226	HSB100
150	0.321848	0.9194190000000001	HSB100
152_S5	0.322912	0.919855	HSB100
153_S6	0.32257800000000003	0.919449	HSB100
154_S7	0.328505	0.925134	HSB100
155_S8	0.322127	0.920104	HSB100
159_S9	0.319448	0.9193899999999999	HSB100
171_S10	0.29990900000000004	0.922997	HSB100
172_S11	0.314338	0.9234760000000001	HSB100
173_S12	0.324009	0.919724	HSB100
174	0.29675799999999997	0.9227059999999999	HSB100
175_S14	0.292702	0.9229280000000001	HSB100
178_S15	0.319235	0.9197059999999999	HSB100
194_S16	0.311291	0.918902	HSB100
195_S17	0.31100300000000003	0.9186129999999999	HSB100
221_S18	0.305164	0.9227069999999999	HSB100
222_S19	0.31785399999999997	0.922392	HSB100
223_S2	0.32587	0.919847	HSB100
238	0.31956799999999996	0.920484	HSB100
239_S21	0.319331	0.919626	HSB100
248_S1	0.31446399999999997	0.919327	HSB100
261_S2	0.30842600000000003	0.923359	HSB100
265_S3	0.29186999999999996	0.922697	HSB100
267_S1	0.306736	0.923372	HSB100
268	0.316619	0.920135	HSB100
270_S2	0.312281	0.919327	HSB100
271_S3	0.29953	0.9230700000000001	HSB100
272	0.317021	0.919467	HSB100
274	0.303136	0.9234870000000001	HSB100
275_S5	0.312681	0.918108	HSB100
278_S6	0.325339	0.919624	HSB100
279_S7	0.302079	0.9228379999999999	HSB100
282_S8	0.313999	0.919652	HSB100
286_S5	0.312889	0.9189350000000001	HSB100
289_S9	0.311816	0.919336	HSB100
292_S10	0.324375	0.9208959999999999	HSB100
313_S12	0.31567199999999995	0.9182950000000001	HSB100
316_S11	0.327007	0.9208209999999999	HSB100
321_S13	0.315709	0.918696	HSB100
322_S14	0.317544	0.9191549999999999	HSB100
332_S15	0.311211	0.9188959999999999	HSB100
337_S16	0.307383	0.923823	HSB100
338_S17	0.310406	0.918533	HSB100
339_S18	0.312763	0.919251	HSB100
340_S6	0.304162	0.9233319999999999	HSB100
341_S19	0.314269	0.9243450000000001	HSB100
342	0.316885	0.92045	HSB100
343_S21	0.31551599999999996	0.9194629999999999	HSB100
344_S4	0.323711	0.919773	HSB100
345_S5	0.317121	0.919349	HSB100
388_S6	0.323745	0.91955	HSB100
389_S1	0.31395700000000004	0.918794	HSB100
394_S2	0.32165	0.9196040000000001	HSB100
395_S1	0.316618	0.919358	HSB100
396_S19	0.32276	0.920406	HSB100
398_S20	0.31585599999999997	0.918957	HSB100
411_S3	0.31452800000000003	0.92442	HSB100
412_S4	0.31819200000000003	0.921248	HSB100
413_S5	0.306256	0.9222809999999999	HSB100
414_S6	0.30963	0.9248879999999999	HSB100
415_S7	0.32274400000000003	0.920026	HSB100
416_S8	0.290473	0.92261	HSB100
417_S9	0.321682	0.920199	HSB100
418_S10	0.316759	0.919134	HSB100
421_S11	0.31896599999999997	0.919953	HSB100
422_S12	0.31248200000000004	0.9237120000000001	HSB100
425_S13	0.323461	0.92056	HSB100
427_S14	0.324565	0.9202379999999999	HSB100
428_S15	0.304506	0.923607	HSB100
429_S16	0.309623	0.9237879999999999	HSB100
430_S17	0.314852	0.919118	HSB100
431_S18	0.330239	0.920968	HSB100
432_S19	0.33011999999999997	0.920307	HSB100
433_S20	0.30049000000000003	0.923269	HSB100
439_S21	0.304017	0.9231959999999999	HSB100
440_S7	0.323491	0.9198129999999999	HSB100
442_S8	0.314736	0.920801	HSB100
443_S1	0.32256399999999996	0.924891	HSB100
444_S1	0.328878	0.9202319999999999	HSB100
445	0.33564099999999997	0.921108	HSB100
452_S3	0.294506	0.922321	HSB100
453_S4	0.300166	0.923019	HSB100
454_S5	0.291118	0.9224620000000001	HSB100
455	0.29484699999999997	0.9227219999999999	HSB100
456_S7	0.294672	0.922789	HSB100
457_S8	0.30289699999999997	0.9231469999999999	HSB100
459_S9	0.293352	0.922869	HSB100
460_S10	0.29986399999999996	0.922974	HSB100
461	0.30283000000000004	0.923058	HSB100
462_S21	0.300772	0.923221	HSB100
463_S12	0.314222	0.920199	HSB100
